,Planet Name,Planet Mass,Planet Radius,Distance from Earth,Star Name,Equilibrium Temperature,Stellar Temperature,Stellar Radius,Distance from Host Star,Number of Planets in System,Habitability
152,Kepler-1100 b,3.71,1.75,693.618,Kepler-1100,1000.0,5985.0,0.981,0.0684,0,1
153,Kepler-1101 b,6.66,2.47,742.473,Kepler-1101,393.0,5325.0,0.975,0.3483,0,1
154,Kepler-1102 b,7.56,2.66,1246.05,Kepler-1102,546.0,6119.0,1.119,0.2731,0,1
155,Kepler-1103 b,5.77,2.27,1331.92,Kepler-1103,736.0,6285.0,1.039,0.1473,0,1
156,Kepler-1104 b,2.04,1.23,530.658,Kepler-1104,1321.0,6387.0,1.381,0.0628,0,1
157,Kepler-1105 b,4.7,2.01,318.004,Kepler-1105,729.0,4299.0,0.697,0.0471,0,1
158,Kepler-1106 b,3.36,1.65,1090.7,Kepler-1106,2199.0,5907.0,1.705,0.0239,0,1
159,Kepler-1107 b,2.36,1.34,428.798,Kepler-1107,1897.0,5132.0,0.886,0.0126,0,1
160,Kepler-1108 b,2.73,1.46,767.701,Kepler-1108,1063.0,5362.0,1.032,0.0511,0,1
161,Kepler-1109 b,5.43,2.19,685.087,Kepler-1109,787.0,5443.0,2.652,0.2466,0,1
162,Kepler-111 b,3.12,1.58,657.223,Kepler-111,1356.0,5873.0,1.235,0.046,0,2
163,Kepler-111 c,42.0,7.3,657.223,Kepler-111,333.0,5873.0,1.235,0.761,0,2
164,Kepler-1110 b,7.56,2.66,726.828,Kepler-1110,609.0,4818.0,0.618,0.0754,0,1
165,Kepler-1111 b,4.66,2.0,841.536,Kepler-1111,938.0,6142.0,1.046,0.0872,0,1
166,Kepler-1112 b,9.38,3.02,1671.28,Kepler-1112,918.0,6643.0,1.216,0.1239,0,1
167,Kepler-1113 b,8.3,2.81,1073.88,Kepler-1113,558.0,5852.0,1.129,0.2415,0,1
168,Kepler-1114 b,2.39,1.35,418.417,Kepler-1114,631.0,5311.0,0.8,0.1102,0,1
169,Kepler-1115 b,3.53,1.7,983.245,Kepler-1115,1381.0,9565.0,2.286,0.2134,0,1
170,Kepler-1116 b,6.99,2.54,1008.57,Kepler-1116,488.0,5730.0,0.87,0.233,0,1
171,Kepler-1117 b,1.41,1.11,568.487,Kepler-1117,938.0,5412.0,0.843,0.0546,0,1
172,Kepler-1118 b,7.95,2.74,888.325,Kepler-1118,502.0,5432.0,0.913,0.2079,0,1
173,Kepler-1119 b,4.35,1.92,1757.23,Kepler-1119,938.0,6057.0,1.0,0.0812,0,1
174,Kepler-112 b,6.17,2.36,513.206,Kepler-112,809.0,5551.0,0.812,0.076,0,2
175,Kepler-112 c,6.35,2.4,513.206,Kepler-112,538.0,5551.0,0.812,0.172,0,2
176,Kepler-1120 b,2.48,1.38,615.231,Kepler-1120,1027.0,4983.0,0.807,0.0369,0,1
177,Kepler-1121 b,4.31,1.91,482.047,Kepler-1121,1008.0,6154.0,1.636,0.1187,0,1
178,Kepler-1122 b,4.82,2.04,1230.42,Kepler-1122,526.0,5520.0,1.08,0.2315,0,1
179,Kepler-1123 b,3.43,1.67,704.323,Kepler-1123,1061.0,5330.0,1.013,0.0497,0,1
180,Kepler-1124 b,2.18,1.28,289.899,Kepler-1124,621.0,3731.0,0.433,0.0305,0,1
181,Kepler-1125 b,4.04,1.84,2011.41,Kepler-1125,778.0,5795.0,1.247,0.1348,0,1
182,Kepler-1126 b,3.64,1.73,635.736,Kepler-1126,374.0,5678.0,0.921,0.4126,0,1
183,Kepler-1127 b,4.5,1.96,842.459,Kepler-1127,994.0,5364.0,0.982,0.0556,0,1
184,Kepler-1128 b,12.9,3.65,1083.41,Kepler-1128,424.0,5480.0,0.931,0.302,0,1
185,Kepler-1129 b,9.06,2.96,1183.88,Kepler-1129,737.0,5596.0,1.466,0.1644,0,2
186,Kepler-1129 c,7.9,2.73,1183.88,Kepler-1129,503.0,5596.0,1.466,0.3528,0,2
187,Kepler-113 b,11.7,1.82,262.351,Kepler-113,775.0,4728.0,0.693,0.0502,0,2
188,Kepler-113 c,8.7,2.18,262.351,Kepler-113,628.0,4728.0,0.693,0.0763,0,2
189,Kepler-1130 b,0.437,0.8,249.343,Kepler-1130,904.0,5450.0,0.842,0.0595,0,3
190,Kepler-1130 c,0.422,0.792,249.343,Kepler-1130,1072.0,5450.0,0.842,0.0423,0,3
191,Kepler-1130 d,0.202,0.645,249.343,Kepler-1130,981.0,5450.0,0.842,0.0506,0,3
192,Kepler-1131 b,3.15,1.59,1030.7,Kepler-1131,1159.0,5761.0,0.956,0.0459,0,1
193,Kepler-1132 b,6.12,2.35,867.931,Kepler-1132,384.0,5052.0,0.855,0.2881,0,1
194,Kepler-1133 b,4.54,1.97,753.135,Kepler-1133,703.0,5420.0,0.85,0.0983,0,1
195,Kepler-1134 b,7.46,2.64,944.445,Kepler-1134,611.0,5477.0,0.794,0.1242,0,1
196,Kepler-1135 b,4.08,1.85,1314.64,Kepler-1135,451.0,5878.0,1.041,0.3436,0,1
197,Kepler-1136 b,3.33,1.64,491.406,Kepler-1136,922.0,4478.0,0.651,0.0299,0,1
198,Kepler-1137 b,5.48,2.2,921.778,Kepler-1137,1020.0,7121.0,1.972,0.1871,0,1
199,Kepler-1138 b,3.53,1.7,872.328,Kepler-1138,1080.0,5431.0,0.843,0.0415,0,1
200,Kepler-1139 b,1.81,1.19,495.156,Kepler-1139,1693.0,5237.0,0.887,0.0165,0,1
201,Kepler-114 b,6.8,1.26,259.533,Kepler-114,586.0,3980.0,0.54,0.053,0,3
